,code,market_cap,SMB,BM,HML,price,nextPrice,up,pubDate,date
141,600200.XSHG,48.77,S,0.203739319802,M,7.0105,5.377,NO,2007-04-26,2007-05-01
142,000930.XSHE,91.72,S,0.20634262612399998,M,8.9485,7.7505,NO,2007-04-30,2007-05-01
143,600874.XSHG,133.89,M,0.20704459456500002,M,7.420999999999999,10.986,YES,2007-04-27,2007-05-01
144,000725.XSHE,199.57,M,0.20793074268199999,M,5.1865000000000006,8.761,YES,2007-04-28,2007-05-01
145,000402.XSHE,203.4,M,0.20808029257599997,M,6.0655,7.567,YES,2007-04-28,2007-05-01
146,600761.XSHG,88.31,S,0.208601421688,M,9.8835,8.742999999999999,NO,2007-04-30,2007-05-01
147,600597.XSHG,114.3,M,0.209745766578,M,9.134,9.089,NO,2007-04-30,2007-05-01
148,601166.XSHG,1579.0,B,0.209757625636,M,7.729,10.207,YES,2007-04-27,2007-05-01
149,600085.XSHG,145.66,M,0.209863859615,M,8.4635,7.0495,NO,2007-04-28,2007-05-01
150,600026.XSHG,637.26,B,0.212725206545,M,14.370999999999999,25.857999999999997,YES,2007-04-27,2007-05-01
151,600015.XSHG,559.86,B,0.21377506764499998,M,5.0545,5.8955,NO,2007-04-30,2007-05-01
152,000839.XSHE,215.36,B,0.21400270964600002,M,4.7155000000000005,5.4925,NO,2007-04-28,2007-05-01
153,600073.XSHG,43.29,S,0.21614885567400002,M,6.474,5.8795,NO,2007-04-25,2007-05-01
154,600717.XSHG,249.78,B,0.21884283812600003,M,13.363,17.366,YES,2007-04-25,2007-05-01
155,600256.XSHG,110.34,M,0.21919936924699998,M,1.936,2.33,NO,2007-04-28,2007-05-01
156,600000.XSHG,1171.46,B,0.21927385649099998,M,4.6,6.641,YES,2007-04-28,2007-05-01
157,000825.XSHE,689.04,B,0.220200132414,M,10.136,9.6935,NO,2007-04-27,2007-05-01
158,600121.XSHG,65.37,S,0.221033100702,M,8.0295,13.253499999999999,YES,2007-04-24,2007-05-01
159,000099.XSHE,58.45,S,0.223818738567,M,8.679,6.9585,NO,2007-04-30,2007-05-01
160,000767.XSHE,147.46,M,0.224147277466,M,9.0135,7.5785,NO,2007-04-18,2007-05-01
161,600267.XSHG,58.32,S,0.22622242093699998,M,6.333500000000001,11.657499999999999,YES,2007-04-27,2007-05-01
162,000039.XSHE,592.16,B,0.22692701164299997,M,17.616,14.997,NO,2007-04-26,2007-05-01
163,000002.XSHE,790.08,B,0.227207486377,M,5.716,12.459,YES,2007-04-30,2007-05-01
164,000401.XSHE,113.9,M,0.22789674848299998,M,9.516,16.2945,YES,2007-04-28,2007-05-01
165,600997.XSHG,129.02,M,0.22823258397799998,M,7.973,19.217,YES,2007-04-19,2007-05-01
166,000680.XSHE,76.58,S,0.228527413705,M,5.993,8.973500000000001,YES,2007-04-20,2007-05-01
167,600600.XSHG,253.27,B,0.22900348364,M,16.517,24.4925,YES,2007-04-30,2007-05-01
168,600535.XSHG,87.72,S,0.229872500221,M,7.0535,7.6455,NO,2007-04-23,2007-05-01
