,SMB_S,SMB_M,SMB_B,HML_H,HML_M,HML_L,priceRatio
155,1.0,0.0,0.0,1.0,0.0,0.0,-0.466890430444086
156,0.0,0.0,1.0,0.0,1.0,0.0,-0.2487415874171941
157,0.0,1.0,0.0,0.0,0.0,1.0,-0.4098985099281444
158,0.0,0.0,1.0,1.0,0.0,0.0,0.7143555815104923
159,1.0,0.0,0.0,0.0,0.0,1.0,-0.28377536369265544
160,0.0,1.0,0.0,1.0,0.0,0.0,0.5958610752016094
161,0.0,1.0,0.0,0.0,0.0,1.0,-0.7580881339154589
162,1.0,0.0,0.0,0.0,1.0,0.0,-0.4506672926233445
163,0.0,1.0,0.0,0.0,1.0,0.0,-0.1929937718958892
164,0.0,1.0,0.0,0.0,1.0,0.0,0.29061912199808115
165,0.0,0.0,1.0,1.0,0.0,0.0,0.04107378909773773
166,0.0,1.0,0.0,0.0,1.0,0.0,-0.458989036349078
167,0.0,1.0,0.0,0.0,1.0,0.0,-0.014147264519101643
168,0.0,1.0,0.0,0.0,1.0,0.0,-0.2287193445263493
169,1.0,0.0,0.0,0.0,1.0,0.0,0.6229497964325343
170,0.0,1.0,0.0,1.0,0.0,0.0,-0.05870100883965645
171,0.0,1.0,0.0,0.0,1.0,0.0,-0.2923723048914776
172,0.0,1.0,0.0,0.0,1.0,0.0,0.11561760730909533
173,0.0,1.0,0.0,1.0,0.0,0.0,0.3055152530444003
174,0.0,1.0,0.0,0.0,0.0,1.0,-0.07157757166107781
175,1.0,0.0,0.0,1.0,0.0,0.0,0.5448691581047274
176,1.0,0.0,0.0,1.0,0.0,0.0,0.026417473772909258
177,0.0,0.0,1.0,0.0,0.0,1.0,-0.10436583622063302
178,1.0,0.0,0.0,0.0,1.0,0.0,-0.4410591916999608
179,1.0,0.0,0.0,0.0,1.0,0.0,-0.05785703474661364
180,0.0,0.0,1.0,0.0,0.0,1.0,-0.2439713475000556
181,0.0,1.0,0.0,0.0,1.0,0.0,0.641280234016901
182,0.0,1.0,0.0,0.0,1.0,0.0,-0.2385409502629714
183,1.0,0.0,0.0,1.0,0.0,0.0,0.19126547637702893
184,0.0,1.0,0.0,1.0,0.0,0.0,0.6817334608365822
185,0.0,0.0,1.0,0.0,1.0,0.0,-0.2238631351587259
